X,Y,index,h3_resolution,post_offices_count,postal_bank_count,road_length_km,cell_towers_count,population_count
-61.7712961756546,-2.06502237517979,848af19ffffffff,4,0,0,0,,180.634986151592
-41.2040443267169,-7.9178262142218,8480359ffffffff,4,2,3,1994.78510771693,54,23100.5348874233
-55.5677994860255,-4.80410858239596,848a86bffffffff,4,0,0,604.401153796725,,1016.31970964417
-54.4486606763435,-0.811222416386899,848a9abffffffff,4,0,0,0,,121.912131498219
-44.4617123742383,-2.20312775306478,848008bffffffff,4,1,3,1301.96779024895,81,29189.596476153
-40.7517710709324,-15.5556820899536,8481355ffffffff,4,1,3,3165.36104713068,25,26721.6173587069
-56.0681929982821,-21.1183162476789,84a8713ffffffff,4,0,0,1241.16507902072,4,1902.58440839499
-51.3762842862024,-14.8470632270553,84a8cc7ffffffff,4,0,0,1294.57223705707,,464.618533986621
-56.4453321673683,1.10313944304927,845f205ffffffff,4,0,0,0,,4.47227590356488
-48.9190363567965,-24.9975372957844,84a8069ffffffff,4,1,1,1877.99694546302,168,16518.9956878871
-52.4036626791535,-26.9744583901369,84a825bffffffff,4,2,8,7880.62005216467,529,148652.521756768
-68.1651206936083,-3.90271229478721,848a461ffffffff,4,0,0,0,,48.4431696861866
-67.3481827477441,-3.8233113124429,848a559ffffffff,4,0,0,0,,236.100643403886
-56.7492280019894,0.297696026308437,845f247ffffffff,4,0,0,271.027310408312,,58.27408096008
-39.7593514894124,-9.6176418243956,84811adffffffff,4,0,0,1597.1894313117,9,6676.90517167169
-48.3937748091365,-17.8172938530399,84a8f17ffffffff,4,6,1,4310.13549316207,634,83527.2853990309
-45.1621030994414,-19.2229304635578,84a88ddffffffff,4,1,2,3463.01613361694,207,40475.533892028
-57.0306979677528,-20.4899921321388,84a8443ffffffff,4,0,0,395.074183628766,,1415.7180112428
-44.7120981664179,-19.1590445909278,84a88c3ffffffff,4,0,0,2715.67480264665,91,8404.91787546873
-50.6721041168954,-24.1391687087928,84a8057ffffffff,4,1,1,6428.60268408826,506,83600.5014913308
-46.1308737526431,-16.3947387144534,84a8d0dffffffff,4,0,1,1987.29605168248,13,8392.45766489953
-47.4993822928176,-1.54963231636016,848073bffffffff,4,0,3,4345.13636771365,391,106377.068476439
-54.4319413133989,-23.0769099225875,84a8745ffffffff,4,0,0,2166.40402362624,65,15009.869950179
-43.0277568012198,-10.565244045624,84810e7ffffffff,4,0,0,228.274740666291,1,6547.44493488222
-49.1785749930261,-14.5611682505768,84a8dddffffffff,4,1,1,4018.50673514496,208,39696.3360770345
-52.6454152754304,-29.2560468473994,84a90d5ffffffff,4,0,5,2617.13046952235,62,27984.7309265062
-51.4348515460239,-3.37328141096291,8480653ffffffff,4,0,0,1697.01600645477,14,18314.4328870624
-70.4006480944394,-8.26340496070419,848b4a1ffffffff,4,1,1,4847.09152200155,34,26964.5757085152
-39.681424717936,-13.8506046060365,8481335ffffffff,4,1,5,2835.38935793215,248,87556.1644756794
-45.167962147312,-7.41118292586255,8481521ffffffff,4,0,1,1203.98878906653,8,7302.88154397532
-56.2494077877921,-4.53092989802877,848a809ffffffff,4,0,0,1502.95863136203,,4136.58189001533
-59.7292764457188,-6.5574805875232,848a13dffffffff,4,0,0,53.6713865881969,,228.149190635071
-62.9891612287781,-3.36410509854527,848ae6bffffffff,4,0,0,0,,678.669915860984
-51.2342099370267,-6.0463238280208,8481481ffffffff,4,0,0,476.432498579266,,2467.04464424108
-59.6744935332017,-8.40849920609636,848a145ffffffff,4,0,0,0,,92.9134737602435
-46.0611850250474,-19.3471323169031,84a8f65ffffffff,4,0,3,4137.87769154748,189,44580.4332456663
-69.3171677986401,-4.76045736281888,848a449ffffffff,4,0,0,0,,14.0831653758651
-60.1465587672431,2.26588204875233,848ade5ffffffff,4,0,0,1300.21563673775,,1399.22772354074
-41.7849692729329,-22.3411827536419,84a8b1bffffffff,4,1,2,3958.30108338457,3988,427348.534023264
-63.9120848858067,-3.84341980102682,848ae4bffffffff,4,0,0,30.1450518941849,,3185.47398283577
-55.214909692463,-30.9345357218741,84c2da1ffffffff,4,0,0,1198.00900523735,40,2650.54309711605
-39.5263586143382,-13.44084367852,848114bffffffff,4,2,5,4107.89844954102,161,104470.442960724
-55.3311117921951,-30.3226607842727,84a9749ffffffff,4,0,0,870.25570114489,,1121.72128305584
-57.0975081375809,-1.64410374299464,848a8a9ffffffff,4,0,0,0,,298.579886147505
-62.0219882182727,-7.6129935965459,848a029ffffffff,4,0,0,0,,2.12681509675531
-63.9293571315504,-6.76274156816182,848a013ffffffff,4,0,0,0,,1.70467854884191
-52.0611903672788,-0.782098542592162,8480681ffffffff,4,0,0,58.0513162387131,,1351.71242031455
-55.0083843168365,-8.52451667593256,848b9bdffffffff,4,0,0,1470.00986673123,1,6122.59506441432
-40.985580017989,-3.95849355858185,8480021ffffffff,4,3,6,6642.15238635977,515,200729.997458756
-51.4786866616196,-0.297467255556536,84806abffffffff,4,0,0,372.757149156069,15,7753.65682699531
-69.5479839579876,-10.0564114444944,848b431ffffffff,4,0,0,0,,234.243559985887
-40.1239432307975,-4.98592629914533,8480159ffffffff,4,0,1,1742.2684515836,10,22484.6702095494
-45.0876721389931,-22.1034270323988,84a8ac5ffffffff,4,2,11,4864.01560883022,877,125017.355013609
-56.3804110692908,-0.766751413004105,848a99bffffffff,4,0,0,0,,57.2942392624682
-42.2468245440286,-8.48724569743122,8480269ffffffff,4,1,2,1909.11920781475,70,21185.0965478402
-46.1211732262983,-21.5256297199351,84a8ad5ffffffff,4,1,4,5417.13106188038,705,116338.775254888
-58.4983664002368,-9.37090539472917,848b883ffffffff,4,0,0,602.419791430455,,365.665800025221
-65.8545472077142,-1.12559984997709,848aeddffffffff,4,0,0,0,,376.701220998773
-57.5534424466543,-2.8503256517839,848a8c5ffffffff,4,0,1,572.357407106982,33,19795.2990898062
-66.4723426564676,-2.63653320844313,848a503ffffffff,4,0,0,0,,665.86723572023
-36.0751637898393,-8.55922843560742,8481819ffffffff,4,1,8,6628.34206461446,538,184404.075983405
-52.6845856462985,-22.9371202541246,84a82b7ffffffff,4,0,2,7211.17380932796,116,17850.7731265463
-59.1827371718217,-3.1168661830417,848aab3ffffffff,4,0,0,1688.60936081476,22,12506.3103489168
-72.3676530581872,-8.09481707296959,848b491ffffffff,4,0,0,1198.13872442432,,1489.71428691223
-51.6930300359741,-15.6322452711486,84a8cc9ffffffff,4,0,1,2087.13970343812,4,3213.41781529039
-45.4234559504717,-17.7850241592609,84a8891ffffffff,4,0,0,564.663004036254,1,412.414798583835
-36.637438908925,-6.71334768999685,848188dffffffff,4,3,8,3703.00694090134,101,57891.1136285365
-67.3991427289408,-6.79995222452985,848a741ffffffff,4,0,0,0,,86.9700838746503
-69.8904408866143,-8.96267925599405,848b5dbffffffff,4,0,0,0,,2635.72163318004
-46.516820849757,-14.1864030244837,84812d9ffffffff,4,0,2,2830.90660296024,110,47702.2652907446
-58.8714323649809,-5.31161121352289,848aac7ffffffff,4,0,0,0,,0
-53.193624758972,-13.1992130384435,848b94dffffffff,4,1,1,2430.37152588377,3,3619.58517164239
-41.805434980096,-16.108304312443,8481265ffffffff,4,0,3,2144.39507539413,26,20012.2611514926
-53.5253021129592,-25.7251309620582,84a9535ffffffff,4,0,5,6740.28994506256,311,75642.2795375586
-52.3284325054918,-13.0895639517825,84a8c97ffffffff,4,0,0,1507.82243022293,,542.400593510363
-44.4981877891485,-16.5304742755335,8481259ffffffff,4,0,2,1331.4915507467,55,24406.1669067442
-55.8800013898171,1.58146742258413,845f221ffffffff,4,0,0,0,,420.203721530735
-57.9802080886521,-10.0503481974318,848b88dffffffff,4,0,0,1024.4593416722,,4025.4410955715
-51.0955411734248,2.83012317292409,84804b9ffffffff,4,0,0,105.713708271706,,140.384331381298
-56.2711134257439,-8.69969068663918,848b991ffffffff,4,0,0,0,,7.60473809097311
-41.6030863005417,-5.63535887511383,8480045ffffffff,4,0,0,758.903204595022,,2844.4588559866
-58.7813552691339,-16.0108089212362,84a84b3ffffffff,4,0,0,498.100401454834,,1229.08608303964
-64.6289024908022,-7.58362796122674,848a2a1ffffffff,4,0,0,518.041599731873,,1272.57682709582
-65.7710326059487,-6.61379358855064,848a2b3ffffffff,4,0,0,0,,8.96341661743566
-64.5581309108627,1.12477732212743,848accbffffffff,4,0,0,3.44162503154441,,584.091158649593
-48.9396552678427,-6.45994344951438,84815ddffffffff,4,0,1,2010.53852613557,22,9108.87062778324
-59.5458449894259,0.908144227496968,848ad07ffffffff,4,0,1,2435.21019727611,8,10098.3298702358
-60.487730710586,-2.58746895947225,848af0dffffffff,4,0,0,195.001864974242,4,429.522347611681
-39.7785941137847,-10.7867551005363,84811edffffffff,4,0,1,2712.08297927981,56,42160.7278725654
